"StudentID","ProgramCode","Gender","YearOfGraduation","CGPA","CGPA100","CGPA200","CGPA300","CGPA400","SGPA"
62501,"BLD","Male","2010",2.57,2.52,3,2.16,2.29,2.38
43988,"EEE","Male","2014",2.96,3.27,2.07,3.25,2.84,2.29
51605,"CEN","Male","2013",2.3,3.49,2.21,1.82,2.72,2.71
71413,"PET","Female","2012",2.61,3.17,2.59,2.17,2.23,3.28
60524,"MIS","Male","2012",2.88,2.56,3.13,3.3,2.66,2.11
81281,"PHYR","Male","2013",3.32,3.96,3.14,3.07,3.04,3.33
77779,"PET","Female","2013",4.5,4.76,4.35,4.31,4.86,3.96
48142,"CHM","Male","2014",2.98,2.67,2.69,3.87,3,2.34
59785,"MCE","Male","2013",3.37,3.84,3.2,2.84,3.09,3.19
48030,"MIS","Male","2012",2.11,3.11,2.02,1.41,1.73,2.32
80997,"EEE","Male","2012",3.21,4.32,3.1,3.25,3.24,3.68
76198,"MIS","Female","2013",4.59,4.52,4.62,4.41,4.73,3.31
86006,"CIS","Female","2013",4.49,4.16,4.76,4.52,4.57,3.75
62831,"MIS","Female","2012",3.52,3.34,3.3,3.9,3.5,3.13
40021,"BCH","Male","2010",3.02,2.94,3.02,3,3.13,2.92
51824,"CIS","Male","2011",2.44,3.64,1.83,2.39,2.11,2.81
40705,"CEN","Female","2012",3.71,3.72,3.21,3.81,4.07,3.47
51603,"MCE","Male","2014",3.45,3.64,2.82,2.8,3.77,2.43
57826,"ICE","Female","2014",3.68,3.91,3.23,3.85,3.34,3.33
88213,"CHM","Male","2012",4.55,4.1,4.7,4.71,4.79,3.67
84270,"MIS","Male","2010",2.72,3.23,1.72,3.23,2.95,3.61
95820,"MCB","Male","2012",4.54,4.22,4.65,4.59,4.76,4.3
79785,"EEE","Male","2012",4.18,4.79,4.51,3.39,3.18,2.99
52402,"MIS","Male","2011",2.45,3.27,2.17,2,2.34,3.04
44619,"MIS","Female","2013",3.31,2.91,3.34,3.48,3.54,2.29
70040,"CHE","Male","2014",3.23,4,3.18,2.94,2.72,3.54
96154,"CHE","Female","2014",4.04,4.28,4.06,3.81,4.16,2.89
48502,"PHYR","Male","2014",3.88,3.76,3.88,3.81,4.03,4.38
71474,"EEE","Male","2010",3.61,4.38,3.78,3.09,3.17,4.02
90318,"CIS","Male","2010",3.51,3.87,3.44,3.48,3.22,3.2
65831,"BCH","Female","2013",3.33,3.31,3.19,3.23,3.58,2.92
45572,"CHM","Female","2010",3.16,2.21,3.5,3.35,3.53,2.34
25421,"CHE","Male","2012",3.07,3.87,2.26,2.63,4.28,3.91
33541,"ICE","Female","2013",3.71,4.07,3.51,3.24,3.97,3.96
35135,"ICE","Female","2013",4.89,4.96,4.88,4.81,4.93,3.61
31968,"CEN","Male","2010",2.91,3.18,3.5,3.08,1.53,2.5
67029,"CEN","Male","2011",3.77,4.3,3.33,2.14,3.68,3.54
24860,"CHE","Male","2014",3.34,3.17,2.6,3.04,3.91,3.05
62114,"BCH","Female","2013",3.17,2.9,3.23,3.06,3.46,2.5
72558,"CIS","Female","2011",4.08,3.64,4.28,4.21,4.29,2.14
28210,"ICE","Male","2014",3.45,3.64,2.72,3.75,3.42,3.28
38636,"ICE","Male","2014",3.19,3.2,2.61,3.35,3.2,2.5
44572,"PET","Male","2014",3.03,3.51,2.47,2.24,3.45,3.26
90197,"MIS","Male","2013",3.02,3.25,2.23,2.71,3.74,1.76
34627,"MCB","Female","2011",3.41,3.09,3.2,3.84,3.69,3.05
37023,"ICE","Female","2012",3.07,3.32,2.24,2.85,3.55,2.97
50159,"CHE","Female","2010",4.04,3.89,4.22,3.94,4.06,2.65
37145,"PHYR","Male","2012",3.53,3.33,3.36,3.66,3.85,2.95
59853,"BLD","Male","2012",3.87,3.45,3.46,4.36,3.79,2.81
58088,"ICE","Female","2012",3.56,3.68,3.08,3.49,3.76,2.81
93352,"CEN","Female","2012",3.94,3.74,3.31,4.06,4.48,3.68
62639,"CHM","Female","2012",3.36,3.13,2.74,3.35,4.33,3.19
57244,"CEN","Male","2013",3.59,4.02,3.47,3.27,3.79,3.33
88930,"CHE","Male","2014",4.45,4.55,4.12,4.36,4.97,3.96
83149,"CIS","Male","2011",3.66,3.17,3.98,4.07,3.6,2.86
30760,"PHYE","Female","2014",3.98,3.55,3.84,3.94,4.57,3.33
51383,"BCH","Female","2011",3.41,3.36,3.18,3.19,3.86,3.05
53428,"EEE","Male","2013",4.17,4.29,3.81,4.15,4.27,3.19
24678,"PET","Female","2013",4.21,4.44,4,3.69,4.54,3.89
66947,"CIS","Male","2011",2.7,3.09,2.2,2.79,2.72,2.95
83592,"CIS","Male","2013",4.02,3.58,4.43,4.41,3.81,2.43
63387,"BCH","Female","2014",3.02,2.73,2.92,3.03,3.34,2.64
92605,"MIS","Female","2011",4.11,3.45,4.18,4.48,4.29,2.71
39238,"CEN","Male","2012",4.06,4.26,3.82,4.15,3.83,3.57
29820,"CHM","Male","2011",3.66,3.37,3.64,3.55,4.07,2.34
41955,"CVE","Male","2012",4,4.17,4.04,3.53,3.83,2.58
93621,"CVE","Male","2014",3.45,3.49,2.66,3.19,3.52,2.77
79970,"CVE","Male","2013",3.41,4.07,3.2,2.53,3.9,3.3
97025,"EEE","Female","2010",4.77,4.91,4.88,4.83,4.28,4.24
90420,"MCB","Female","2011",4.5,4.39,4.2,4.83,4.76,3.52
38940,"CVE","Male","2010",2.62,2.72,2.34,2.33,2.68,2.19
67361,"PET","Female","2014",3.43,3.78,3.11,3.23,3.14,2.24
64334,"ICE","Female","2013",4.55,4.42,4.31,4.47,4.76,3.98
85163,"CHE","Female","2012",2.98,2.96,2.23,2.55,3.53,2.92
25090,"CIS","Male","2014",3.7,3.47,3.81,4.1,3.55,3.59
95263,"CIS","Male","2013",4.37,4.42,4.33,4.34,4.36,2.64
74113,"MIS","Female","2013",3.71,3.7,4,3.15,3.76,2.57
44395,"PET","Male","2014",3.32,3.62,3.07,3.31,2.57,2.92
47144,"CIS","Male","2011",2.59,2.57,2.22,2.78,2.76,2.5
62937,"CIS","Female","2011",2.54,2.6,2.64,2.62,2.32,2.19
79096,"CIS","Male","2013",2.55,2.58,2.68,2.29,2.52,1.77
64443,"BLD","Male","2014",3.62,3.33,3.39,3.57,3.46,2.85
90949,"ICE","Female","2012",3.38,3.72,2.66,3.09,3.13,2.99
50013,"MIS","Female","2013",3.75,3.18,3.95,3.41,4.33,3.82
91438,"MCB","Female","2012",3.17,2.69,2.89,4,3.43,2.34
90758,"PET","Male","2013",4.2,4.78,4.04,3.79,3.93,4.31
52771,"MIS","Male","2012",3.52,3.94,2.9,3.18,3.85,3.3
26784,"MIS","Male","2013",2.98,2.43,3,3.5,3.13,2.99
58377,"EEE","Male","2010",4.65,4.78,4.76,4.6,4.31,3.19
31003,"CVE","Male","2012",3.74,3.98,3.2,3.4,4.03,3.05
72365,"EEE","Female","2010",3.65,3.49,3.28,3.82,3.45,3.39
87291,"BLD","Female","2013",4.28,4.04,4.08,4.39,4.31,2.92
85482,"CEN","Male","2011",2.36,2.78,2.08,2.61,0.6,2.5
72189,"BCH","Female","2010",3.92,3.74,3.98,3.69,4.2,3.54
73861,"MCE","Male","2010",3.78,4.42,4.26,3.88,3.17,3.75
54855,"CEN","Male","2013",3.23,3.82,2.92,2.64,3.42,2.19
29396,"ICE","Female","2014",3.98,3.84,3.31,4.31,4.07,4.17
87241,"CEN","Male","2014",3.37,3.18,2.67,3.78,3.72,2.92
75716,"PET","Female","2013",4.8,4.93,4.71,4.72,4.82,4.51
61539,"CIS","Male","2011",3.73,3.87,3.88,3.59,3.5,3.02
74583,"EEE","Male","2014",3.71,3.56,3,3.96,3.9,2.5
86969,"PET","Male","2012",3.58,3.77,2.62,3.34,4,2.92
93847,"BCH","Male","2011",3.77,3.89,3.51,3.84,3.88,3.13
41942,"CIS","Female","2013",1.87,2.2,2.43,1.62,1.42,3.04
69247,"MCB","Female","2012",3.61,3.37,3.18,4.23,3.74,2.71
38109,"CEN","Male","2011",3.04,3.46,3.06,3.06,3.65,2.88
82489,"EEE","Male","2014",2.48,3.44,3.05,1.67,1.31,2.38
88515,"ICE","Male","2013",3.32,4.16,3.2,2.45,3.1,2.68
60990,"CIS","Male","2012",3.25,3.76,3.43,3.06,2.46,2.02
60157,"ICE","Female","2014",4.47,4.56,4.08,4.62,4.17,2.74
27786,"CVE","Male","2014",3.86,4.29,3.19,3.71,4,3.19
95071,"CIS","Male","2011",2.43,2.89,1.84,2.1,2.74,3.33
73252,"PET","Male","2012",4.63,4.51,4.47,4.55,4.74,3.98
75888,"MCB","Female","2011",3.64,3.2,3.4,4.52,3.77,2.5
37138,"EEE","Female","2010",4.85,4.78,4.9,4.83,4.66,4.03
45045,"EEE","Male","2014",3.25,3.33,2.58,3.71,3.48,2.83
81918,"PET","Female","2014",4.39,4.71,4.27,4.3,3.89,2.05
97036,"CHM","Male","2013",4.34,4.15,4.36,4.61,4.33,3.13
53101,"PET","Male","2014",3.28,3.8,3.15,3.05,2.84,2.5
23764,"MCE","Male","2013",3.16,4.11,2.96,2.96,2.77,2.86
76966,"PET","Female","2013",2.91,3.36,2.3,2.53,3.25,3.21
44321,"BCH","Female","2012",3.76,3.83,3.94,3.9,3.34,3.13
42824,"CEN","Male","2012",4.06,3.98,4.06,3.65,4.14,4.58
36772,"CVE","Male","2010",3.9,4.02,3.6,3.9,3.66,3.06
97040,"PET","Female","2012",3.22,3.81,2.98,2.85,3.33,3.36
85246,"MCE","Female","2013",4.07,3.93,3.43,4.07,4.23,3.83
82681,"CIS","Male","2010",3.44,3.83,3.26,2.72,3.7,3.33
60374,"MAT","Female","2012",3.34,2.98,3.71,3.52,3.22,1.88
28743,"CVE","Male","2012",3.71,3.34,3.13,3.8,4.19,3.83
83307,"CHE","Male","2013",4.37,4.7,3.71,4.49,4.56,4.06
91226,"MIS","Male","2014",2,2.23,1.24,2.06,2.52,2.31
93883,"EEE","Male","2012",3.41,3.09,3.11,3.52,3.62,2.95
92340,"CVE","Female","2010",3.91,3.58,3.38,4.09,4.17,2.85
51252,"EEE","Male","2013",3.76,4.2,3.47,3.72,3.48,4.11
59433,"MCE","Male","2013",3.61,4.09,3.9,3,3.15,2.58
93431,"MIS","Male","2013",3.02,2.23,3.2,2.8,3.67,1.98
75612,"MCB","Female","2012",3.53,3.71,2.77,4.17,3.83,3.26
50880,"PET","Female","2011",3.91,4.13,3.73,3.7,3.93,3.98
30373,"MCB","Female","2012",4.16,4.2,3.98,4.62,3.97,3.13
71808,"CIS","Female","2013",3.74,3.84,3.88,3.34,3.76,2.58
62254,"MCB","Male","2013",2.83,2.27,2.88,3.58,2.85,3.04
74806,"EEE","Male","2010",4.83,4.84,4.9,4.83,4.62,4.51
65696,"PET","Male","2010",3.16,3.25,3.66,2.54,2.86,2.89
23987,"MIS","Male","2014",3.16,3.04,2.73,3.11,3.61,2.57
76637,"BCH","Female","2011",2.89,2.64,3.06,2.88,2.97,2.85
77186,"CEN","Male","2013",3.74,4.4,3.45,3.58,3.77,4.03
42996,"CVE","Male","2013",3.69,3.51,3.24,3.74,4.21,2.42
60118,"MCE","Female","2014",4.24,4.58,4,3.91,4.03,4.44
36126,"CHE","Male","2014",4.24,4.4,4,4.17,4.38,2.15
76811,"EEE","Female","2013",3.39,4.11,3.27,2.72,3.1,2.93
49087,"MIS","Male","2010",1.94,1.76,1.4,1.48,1.87,3.28
71608,"CIS","Male","2013",2.11,2.64,2.07,1.52,1.99,2.24
35325,"CVE","Male","2011",3.32,3.49,3.02,3.16,3.87,3.13
45608,"BLD","Female","2012",3.96,3.35,3.96,3.91,4,2.19
23629,"CHM","Female","2010",3.36,2.52,3.38,3.58,4.09,2.89
81152,"PET","Male","2014",3.68,4.18,3.17,3.73,3.18,3.13
35610,"CIS","Male","2012",3.91,3.89,3.81,4.07,3.93,3.96
36809,"CEN","Male","2010",3.97,3.98,4.22,3.89,3.93,2.66
37997,"MIS","Male","2013",2.74,2.3,2.55,2.6,3.35,2.78
70748,"EEE","Male","2013",3.8,4.27,3.31,3.96,3.83,4.38
62488,"EEE","Female","2012",3.51,3.57,3.07,3.66,3.66,3.67
31373,"CVE","Female","2011",4.5,4.26,4.22,4.45,4.86,4.38
35630,"EEE","Male","2014",3.19,4.09,2.57,2.93,3.1,3.47
28959,"BCH","Female","2012",2.84,3.33,2.8,2.9,2.42,2.66
60454,"CVE","Male","2014",2.71,3.31,2.52,2.35,2.58,3.13
95818,"CIS","Male","2013",3.41,3.58,3.55,2.22,3.78,1.84
52769,"BCH","Male","2013",2.98,2.73,3.47,2.13,3.25,2.08
87277,"PHYR","Male","2013",4.09,4.36,4.15,4.26,3.57,4.3
25706,"CIS","Female","2013",3.79,3.64,3.93,4.21,3.52,2.36
40810,"CIS","Female","2014",4.79,4.53,4.93,5,4.79,4.24
64562,"MIS","Female","2013",2.69,2.64,2.98,2.13,2.78,2.54
25338,"CIS","Male","2013",3.75,3.67,3.25,3.81,4.29,2.99
64348,"EEE","Male","2011",3.28,3.41,3.25,3.1,3.62,3.66
66009,"CHM","Female","2012",4.02,3.46,3.58,4.45,4.86,2.5
81381,"PHYE","Male","2014",2.36,2.84,2.1,2.45,2.22,3.44
50564,"CIS","Female","2011",3.52,3,3.44,3.66,4.1,2.97
25071,"BLD","Male","2013",4.12,3.37,3.71,4.52,4.65,2.57
53167,"EEE","Female","2010",4.61,4.76,4.72,4.66,4.14,3.26
48071,"BCH","Female","2012",2.57,3.04,2.5,2.55,2.3,2.17
48948,"CVE","Female","2013",4.44,4.53,4.33,4.21,4.62,3.31
27117,"CIS","Male","2010",1.91,2.53,2.26,1.69,1.54,2.71
75696,"BLD","Male","2011",3.45,3.28,4.3,3.44,3.03,3.28
64738,"CIS","Male","2013",3.88,4.09,4.02,3.79,3.57,2.97
47417,"CEN","Female","2010",2.86,3.57,2.96,2.54,2.55,2.73
27052,"PHYG","Female","2014",4.56,4.39,4.7,4.58,4.63,3.52
28448,"CIS","Female","2012",4.52,4.53,4.49,4.62,4.48,2.98
73561,"MIS","Male","2013",3.25,3.07,3.16,2.73,3.76,2.34
79962,"MCE","Male","2010",3.96,3.85,3.86,3.84,4.09,4.03
44903,"CIS","Male","2013",4.28,4.04,4.67,4.41,4.05,3.16
24100,"MCB","Female","2012",3.3,2.94,3.02,3.9,3.67,3.86
83087,"EEE","Male","2010",3.96,3.56,4.34,4.23,3.28,2.73
37882,"CEN","Male","2010",3.75,3.67,4.22,4,2.83,3.61
73469,"CIS","Female","2012",3.32,3.49,2.91,3.33,3.53,3.19
26838,"CEN","Male","2010",3.21,3.11,3.34,3,3.41,3.28
42844,"MCE","Male","2014",4.26,4.49,3.9,4.09,4.55,3.98
56392,"BCH","Female","2011",4.17,3.98,4.17,4.45,4.17,2.57
90155,"EEE","Male","2012",3.8,4.19,3.55,3.6,3.83,3.75
96509,"CEN","Female","2011",3.26,3.37,3.08,3.07,3.6,3.54
68759,"MIS","Male","2011",2.41,3.25,2.38,1.85,2.13,2.58
27297,"MIS","Male","2010",2.69,2.73,2.12,3.03,2.65,3.75
38719,"PHYG","Male","2014",2.46,3.27,2.22,2.94,1.92,3.59
77466,"CIS","Male","2013",3.59,3.82,3.4,3.1,3.87,1.91
23595,"EEE","Male","2010",4.32,4.6,4.08,4.08,4.24,4.1
50853,"PHYE","Male","2012",4.36,4.2,4.51,4.55,3.75,2.73
81167,"PET","Female","2013",4.54,4.31,4.43,4.54,4.82,3.82
31535,"MIS","Male","2012",3.43,3.36,3.07,4,3.16,3.82
72010,"CHE","Female","2014",4.47,4.72,4.31,4.28,4.56,2.9
39234,"CHM","Male","2012",4.01,3.69,3.83,4.32,4.33,2.73
86096,"MIS","Female","2011",3.62,2.98,3.78,3.93,3.89,3.3
69531,"BCH","Female","2011",4.27,4.28,4.21,4.52,4.12,4.03
95195,"CEN","Male","2010",3.67,3.73,3.86,3.72,3.62,3.47
62179,"PET","Female","2010",4.3,4.47,4.4,4.04,3.67,3.83
96954,"CHE","Female","2014",4.46,4.64,4.09,4.34,4.81,3.82
83873,"CIS","Male","2013",2.76,3.42,2.6,3.16,2.2,2.77
61005,"CHE","Female","2013",4.26,4.64,3.78,4.28,4.28,3.39
85190,"CVE","Male","2014",2.61,3.02,2.24,2.19,2.32,1.98
75542,"CEN","Male","2010",4.02,4.4,4.54,3.85,3.48,2.73
68603,"PET","Female","2014",4.1,4.51,3.8,4.11,3.5,3.82
69344,"EEE","Male","2010",3.32,3.15,3.56,3.3,3.07,3.82
87295,"ICE","Male","2010",3.82,3.73,4.04,3.81,3.52,3.36
91945,"ICE","Female","2010",4.22,3.87,4.04,4.43,4.17,2.85
71229,"MIS","Female","2011",3.37,2.48,3.36,3.6,4.09,2.58
70995,"MCB","Female","2012",3.02,2.8,2.73,3.9,2.85,2.68
26082,"PHYE","Male","2013",3.61,3.89,3.74,3.31,3.38,2.99
25083,"CVE","Male","2010",3.19,3.36,2.63,2.81,3.48,3.05
24972,"CEN","Female","2010",4.51,4.04,4.36,4.74,4.66,3.26
86692,"ICE","Female","2014",4.12,4.02,3.47,4.32,4.31,2.85
35134,"PHYG","Male","2013",2.61,3.2,2.51,2.68,2.29,3.06
93068,"MAT","Female","2012",4.16,4.07,4.18,4.34,3.86,3.52
80308,"CIS","Female","2013",3.35,2.78,3.73,3,3.72,2.43
78724,"EEE","Male","2011",3.68,4.2,3.55,3.83,3.69,3.13
79384,"MIS","Male","2014",3.91,3.98,4.07,3.67,3.82,3.06
37792,"CHE","Female","2011",4.08,4.06,3.83,3.89,4.47,2.86
50574,"PHYG","Male","2014",1.88,2.35,1.41,2.16,1.63,3.05
50512,"CIS","Female","2013",3.69,2.98,3.86,3.9,4.09,3.26
54606,"MCB","Female","2011",3.83,3.54,3.42,4.16,4.41,3.44
35982,"MIS","Male","2011",2.65,3.32,2.61,2.89,2.15,2.41
65727,"CVE","Male","2013",4.04,4.27,3.82,3.76,4.17,2.66
58886,"EEE","Male","2010",4.82,4.82,4.88,4.85,4.62,3.26
44862,"MIS","Male","2011",2.45,2.95,2.65,2.78,1.77,2.11
62548,"EEE","Female","2010",3.83,3.85,3.82,3.7,3.69,4.14
27376,"PHYR","Male","2014",4.46,4.31,4.47,4.45,4.6,3.82
83408,"EEE","Male","2011",2.92,4.17,2.92,2.34,3.42,2.41
41705,"ICE","Male","2011",2.24,3.42,3,1.65,1.87,3.19
92264,"BLD","Female","2014",3.66,3.24,3.63,3.63,4,3.21
52653,"PET","Female","2012",3.59,4.09,3.65,2.91,2.97,3.13
51372,"MIS","Female","2012",3.69,2.98,3.98,3.78,3.81,2.85
57318,"EEE","Male","2011",3.49,4.15,3.18,3.12,3.55,2.5
65484,"CIS","Male","2012",4.43,4.91,4.3,4.83,3.76,4.1
25220,"BCH","Female","2011",3.26,3.28,3.17,3.13,3.42,3.59
93343,"CVE","Male","2014",3.39,3.73,2.57,2.89,4.1,3.89
87655,"PET","Male","2013",3.75,4.02,3.69,3.51,3.61,3.36
44646,"CIS","Female","2010",3.39,2.68,3.45,3.9,3.74,3.67
95759,"CIS","Female","2013",3.63,3.42,3.8,3.79,3.55,3.16
91433,"MIS","Female","2010",1.72,1.64,2.15,0.87,1.64,3.13
61270,"CVE","Male","2013",4.06,4.29,3.9,3.81,4.34,3.89
97254,"MIS","Male","2011",3.48,3.2,3.41,3.52,3.82,2.32
74352,"MIS","Male","2013",3.54,3.3,2.94,4.11,4.11,3.13
86812,"CVE","Male","2011",1.97,2.8,2.1,0.99,2.15,2.08
40593,"CVE","Male","2012",4.28,4.11,3.71,4.51,4.62,3.05
61735,"EEE","Female","2012",3.62,4.06,3.04,3.61,3.62,3.28
79255,"MIS","Female","2012",4.55,4.14,4.63,4.7,4.57,4.02
89501,"BCH","Female","2011",4.4,4.04,4.38,4.52,4.73,3.52
38829,"EEE","Female","2010",4.3,4.6,4.34,4.38,3.41,4.31
57350,"BLD","Male","2014",4.08,3.48,4.04,4.04,4.07,2.88
37106,"CHM","Female","2012",2.51,1.82,2.14,3.55,2.87,2.32
69494,"CHM","Male","2012",3.6,3.69,3.3,3.96,3.61,2.76
46705,"CHE","Female","2014",3.16,3.85,2.78,3.15,2.78,3.82
67692,"CEN","Female","2012",4.63,4.6,4.47,4.51,4.9,3.39
